"Resistance.gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","Contig","Position.in.contig","Phenotype","Accession.no.","Sample"
"aadA1",100,"683/792",86.2373737373737,"1..683","JBICDX010000115.1 Escherichia coli strain 47463 contig00115, whole genome shotgun sequence","11..693","Spectinomycin, Streptomycin","JQ414041","GCA_045952235.1"
"blaCTX-M-14",100,"876/876",100,"1..876","JBICDX010000031.1 Escherichia coli strain 47463 contig00031, whole genome shotgun sequence","13116..13991","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","AF252622","GCA_045952235.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICDX010000095.1 Escherichia coli strain 47463 contig00095, whole genome shotgun sequence","369..1229","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045952235.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDX010000037.1 Escherichia coli strain 47463 contig00037, whole genome shotgun sequence","3552..5177","Colistin","KP347127","GCA_045952235.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICDX010000075.1 Escherichia coli strain 47463 contig00075, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045952235.1"
"catA1",99.85,"660/660",100,"1..660","JBICDX010000091.1 Escherichia coli strain 47463 contig00091, whole genome shotgun sequence","333..992","Chloramphenicol","V00622","GCA_045952235.1"
"sul1",100,"840/840",100,"1..840","JBICDX010000061.1 Escherichia coli strain 47463 contig00061, whole genome shotgun sequence","2105..2944","Sulfamethoxazole","U12338","GCA_045952235.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDX010000103.1 Escherichia coli strain 47463 contig00103, whole genome shotgun sequence","303..1093","Sulfamethoxazole","AB366440","GCA_045952235.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDX010000103.1 Escherichia coli strain 47463 contig00103, whole genome shotgun sequence","303..1093","Sulfamethoxazole","FN995456","GCA_045952235.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDX010000103.1 Escherichia coli strain 47463 contig00103, whole genome shotgun sequence","303..1093","Sulfamethoxazole","HQ840942","GCA_045952235.1"
"tet(B)",100,"1206/1206",100,"1..1206","JBICDX010000047.1 Escherichia coli strain 47463 contig00047, whole genome shotgun sequence","1481..2686","Doxycycline, Tetracycline, Minocycline","AF326777","GCA_045952235.1"
"dfrA1",100,"474/474",100,"1..474","JBICDX010000008.1 Escherichia coli strain 47463 contig00008, whole genome shotgun sequence","149895..150368","Trimethoprim","X00926","GCA_045952235.1"
"dfrA36",100,"588/588",100,"1..588","JBICDX010000080.1 Escherichia coli strain 47463 contig00080, whole genome shotgun sequence","513..1100","Trimethoprim","CP038791","GCA_045952235.1"
"aph(4)-Ia",100,"1026/1026",100,"1..1026","JBICDZ010000028.1 Escherichia coli strain 47461 contig00028, whole genome shotgun sequence","1165..2190","Hygromycin","V01499","GCA_045952255.1"
"aac(3)-IV",100,"777/777",100,"1..777","JBICDZ010000028.1 Escherichia coli strain 47461 contig00028, whole genome shotgun sequence","160..936","Gentamicin, Tobramycin","DQ241380","GCA_045952255.1"
"aadA1",100,"792/792",100,"1..792","JBICDZ010000053.1 Escherichia coli strain 47461 contig00053, whole genome shotgun sequence","676..1467","Spectinomycin, Streptomycin","JQ414041","GCA_045952255.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDZ010000061.1 Escherichia coli strain 47461 contig00061, whole genome shotgun sequence","43..879","Streptomycin","M28829","GCA_045952255.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICDZ010000061.1 Escherichia coli strain 47461 contig00061, whole genome shotgun sequence","879..1682","Streptomycin","AF321551","GCA_045952255.1"
"aadA2b",99.71,"698/780",89.4871794871795,"1..698","JBICDZ010000096.1 Escherichia coli strain 47461 contig00096, whole genome shotgun sequence","1..698","Spectinomycin, Streptomycin","D43625","GCA_045952255.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICDZ010000021.1 Escherichia coli strain 47461 contig00021, whole genome shotgun sequence","51620..52480","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045952255.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDZ010000015.1 Escherichia coli strain 47461 contig00015, whole genome shotgun sequence","60144..61769","Colistin","KP347127","GCA_045952255.1"
"FloR",99.84,"1215/1215",100,"1..1215","JBICDZ010000051.1 Escherichia coli strain 47461 contig00051, whole genome shotgun sequence","1630..2844","Chloramphenicol,Florfenicol","CP136914","GCA_045952255.1"
"cmlA1",99.92,"1260/1260",100,"1..1260","JBICDZ010000053.1 Escherichia coli strain 47461 contig00053, whole genome shotgun sequence","1560..2819","Chloramphenicol","M64556","GCA_045952255.1"
"sul2",100,"816/816",100,"1..816","JBICDZ010000040.1 Escherichia coli strain 47461 contig00040, whole genome shotgun sequence","140..955","Sulfamethoxazole","AY034138","GCA_045952255.1"
"sul3",100,"792/792",100,"1..792","JBICDZ010000054.1 Escherichia coli strain 47461 contig00054, whole genome shotgun sequence","186..977","Sulfamethoxazole","AJ459418","GCA_045952255.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDZ010000071.1 Escherichia coli strain 47461 contig00071, whole genome shotgun sequence","733..1306","Sulfamethoxazole","AM040449","GCA_045952255.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDZ010000071.1 Escherichia coli strain 47461 contig00071, whole genome shotgun sequence","733..1306","Sulfamethoxazole","AJ746361","GCA_045952255.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDZ010000071.1 Escherichia coli strain 47461 contig00071, whole genome shotgun sequence","733..1306","Sulfamethoxazole","GU562437","GCA_045952255.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDZ010000071.1 Escherichia coli strain 47461 contig00071, whole genome shotgun sequence","733..1306","Sulfamethoxazole","EU117158","GCA_045952255.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDZ010000071.1 Escherichia coli strain 47461 contig00071, whole genome shotgun sequence","733..1306","Sulfamethoxazole","JF262165","GCA_045952255.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDZ010000071.1 Escherichia coli strain 47461 contig00071, whole genome shotgun sequence","733..1306","Sulfamethoxazole","EF667294","GCA_045952255.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDZ010000071.1 Escherichia coli strain 47461 contig00071, whole genome shotgun sequence","733..1306","Sulfamethoxazole","AJ517791","GCA_045952255.1"
"sul1",100,"574/852",67.3708920187793,"279..852","JBICDZ010000071.1 Escherichia coli strain 47461 contig00071, whole genome shotgun sequence","733..1306","Sulfamethoxazole","AY963803","GCA_045952255.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDZ010000071.1 Escherichia coli strain 47461 contig00071, whole genome shotgun sequence","733..1306","Sulfamethoxazole","U12338","GCA_045952255.1"
"tet(M)",99.9,"1920/1920",100,"1..1920","JBICDZ010000036.1 Escherichia coli strain 47461 contig00036, whole genome shotgun sequence","4993..6912","Doxycycline, Tetracycline, Minocycline","X75073","GCA_045952255.1"
"tet(A)",99.92,"1200/1200",100,"1..1200","JBICDZ010000049.1 Escherichia coli strain 47461 contig00049, whole genome shotgun sequence","1560..2759","Doxycycline, Tetracycline","AJ517790","GCA_045952255.1"
"dfrA12",100,"498/498",100,"1..498","JBICDZ010000079.1 Escherichia coli strain 47461 contig00079, whole genome shotgun sequence","527..1024","Trimethoprim","AM040708","GCA_045952255.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICEA010000094.1 Escherichia coli strain 47459 contig00094, whole genome shotgun sequence","107..943","Streptomycin","M28829","GCA_045952275.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICEA010000094.1 Escherichia coli strain 47459 contig00094, whole genome shotgun sequence","943..1745","Streptomycin","AF024602","GCA_045952275.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICEA010000094.1 Escherichia coli strain 47459 contig00094, whole genome shotgun sequence","943..1746","Streptomycin","AF321551","GCA_045952275.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICEA010000094.1 Escherichia coli strain 47459 contig00094, whole genome shotgun sequence","943..1746","Streptomycin","AF313472","GCA_045952275.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICEA010000094.1 Escherichia coli strain 47459 contig00094, whole genome shotgun sequence","943..1746","Streptomycin","AF321550","GCA_045952275.1"
"aadA1",99.75,"792/792",100,"1..792","JBICEA010000101.1 Escherichia coli strain 47459 contig00101, whole genome shotgun sequence","912..1703","Spectinomycin, Streptomycin","JX185132","GCA_045952275.1"
"aadA1",99.75,"792/792",100,"1..792","JBICEA010000101.1 Escherichia coli strain 47459 contig00101, whole genome shotgun sequence","912..1703","Spectinomycin, Streptomycin","JQ414041","GCA_045952275.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICEA010000122.1 Escherichia coli strain 47459 contig00122, whole genome shotgun sequence","216..1031","Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Kanamycin, Unknown Aminoglycoside","V00359","GCA_045952275.1"
"blaTEM-1A",100,"861/861",100,"1..861","JBICEA010000045.1 Escherichia coli strain 47459 contig00045, whole genome shotgun sequence","6001..6861","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","HM749966","GCA_045952275.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICEA010000019.1 Escherichia coli strain 47459 contig00019, whole genome shotgun sequence","46438..48063","Colistin","KP347127","GCA_045952275.1"
"mph(B)",100,"909/909",100,"1..909","JBICEA010000105.1 Escherichia coli strain 47459 contig00105, whole genome shotgun sequence","195..1103","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","AM040449","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","JF262178","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","AJ746361","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","GU562437","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","EU117158","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","JF262165","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","EF667294","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","AJ517791","GCA_045952275.1"
"sul1",100,"544/852",63.849765258216,"309..852","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","AY963803","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","FJ715937","GCA_045952275.1"
"sul1",100,"544/840",64.7619047619048,"297..840","JBICEA010000085.1 Escherichia coli strain 47459 contig00085, whole genome shotgun sequence","1..544","Sulfamethoxazole","U12338","GCA_045952275.1"
"sul3",100,"792/792",100,"1..792","JBICEA010000091.1 Escherichia coli strain 47459 contig00091, whole genome shotgun sequence","2189..2980","Sulfamethoxazole","AJ459418","GCA_045952275.1"
"tet(A)",99.92,"1200/1200",100,"1..1200","JBICEA010000079.1 Escherichia coli strain 47459 contig00079, whole genome shotgun sequence","1560..2759","Doxycycline, Tetracycline","AJ517790","GCA_045952275.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICEA010000095.1 Escherichia coli strain 47459 contig00095, whole genome shotgun sequence","354..2273","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045952275.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICEA010000101.1 Escherichia coli strain 47459 contig00101, whole genome shotgun sequence","1796..2269","Trimethoprim","AF203818","GCA_045952275.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICEA010000101.1 Escherichia coli strain 47459 contig00101, whole genome shotgun sequence","1796..2269","Trimethoprim","AJ238350","GCA_045952275.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICEA010000101.1 Escherichia coli strain 47459 contig00101, whole genome shotgun sequence","1796..2269","Trimethoprim","X00926","GCA_045952275.1"
"aadA2",100,"792/792",100,"1..792","JBICDY010000040.1 Escherichia coli strain 47462 contig00040, whole genome shotgun sequence","20381..21172","Spectinomycin, Streptomycin","JQ364967","GCA_045952295.1"
"aph(6)-Id",100,"831/831",100,"1..831","JBICDY010000053.1 Escherichia coli strain 47462 contig00053, whole genome shotgun sequence","477..1307","Streptomycin","CP000971","GCA_045952295.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDY010000053.1 Escherichia coli strain 47462 contig00053, whole genome shotgun sequence","1313..2116","Streptomycin","AF321551","GCA_045952295.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICDY010000053.1 Escherichia coli strain 47462 contig00053, whole genome shotgun sequence","6970..7830","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045952295.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDY010000035.1 Escherichia coli strain 47462 contig00035, whole genome shotgun sequence","27532..29157","Colistin","KP347127","GCA_045952295.1"
"mph(A)",100,"906/906",100,"1..906","JBICDY010000040.1 Escherichia coli strain 47462 contig00040, whole genome shotgun sequence","27827..28732","Erythromycin, Azithromycin, Spiramycin, Telithromycin","D16251","GCA_045952295.1"
"sul1",100,"840/840",100,"1..840","JBICDY010000040.1 Escherichia coli strain 47462 contig00040, whole genome shotgun sequence","21677..22516","Sulfamethoxazole","U12338","GCA_045952295.1"
"sul2",100,"816/816",100,"1..816","JBICDY010000053.1 Escherichia coli strain 47462 contig00053, whole genome shotgun sequence","2177..2992","Sulfamethoxazole","AY034138","GCA_045952295.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICDY010000025.1 Escherichia coli strain 47462 contig00025, whole genome shotgun sequence","1458..2657","Doxycycline, Tetracycline","AJ517790","GCA_045952295.1"
"dfrA12",100,"498/498",100,"1..498","JBICDY010000040.1 Escherichia coli strain 47462 contig00040, whole genome shotgun sequence","19476..19973","Trimethoprim","AM040708","GCA_045952295.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICEB010000012.1 Escherichia coli strain 47248 contig00012, whole genome shotgun sequence","143560..144375","Unknown Aminoglycoside, Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin","V00359","GCA_045952325.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICEB010000072.1 Escherichia coli strain 47248 contig00072, whole genome shotgun sequence","3653..4489","Streptomycin","M28829","GCA_045952325.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICEB010000072.1 Escherichia coli strain 47248 contig00072, whole genome shotgun sequence","2850..3653","Streptomycin","AF321551","GCA_045952325.1"
"blaCTX-M-1",100,"876/876",100,"1..876","JBICEB010000045.1 Escherichia coli strain 47248 contig00045, whole genome shotgun sequence","11543..12418","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","DQ915955","GCA_045952325.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICEB010000099.1 Escherichia coli strain 47248 contig00099, whole genome shotgun sequence","646..1506","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045952325.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICEB010000050.1 Escherichia coli strain 47248 contig00050, whole genome shotgun sequence","1025..2650","Colistin","KP347127","GCA_045952325.1"
"sul2",100,"816/816",100,"1..816","JBICEB010000072.1 Escherichia coli strain 47248 contig00072, whole genome shotgun sequence","1974..2789","Sulfamethoxazole","HQ840942","GCA_045952325.1"
"dfrA8",100,"510/510",100,"1..510","JBICEB010000125.1 Escherichia coli strain 47248 contig00125, whole genome shotgun sequence","154..663","Trimethoprim","U10186","GCA_045952325.1"
"aadA1",100,"792/792",100,"1..792","JBICEC010000124.1 Escherichia coli strain 46802 contig00124, whole genome shotgun sequence","1506..2297","Spectinomycin, Streptomycin","JQ414041","GCA_045952395.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICEC010000132.1 Escherichia coli strain 46802 contig00132, whole genome shotgun sequence","107..943","Streptomycin","M28829","GCA_045952395.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICEC010000132.1 Escherichia coli strain 46802 contig00132, whole genome shotgun sequence","943..1745","Streptomycin","AF024602","GCA_045952395.1"
